시설물명,주소,교량형식,교량연장,차로수,경간수,최대경간수,,
용화1교(하),강원도 삼척시 근덕면 용화리 ,PC빔교(PC I),120,2,4,30,,
용화2교(상),강원도 삼척시 근덕면 용화리 ,강박스거더교(STB),225,2,5,45,,
용화2교(하),강원도 삼척시 근덕면 용화리 ,강박스거더교(STB),225,2,5,45,,
문암교(상),강원도 삼척시 근덕면 초곡리 ,강박스거더교(STB),144,2,3,48,,
호산천교(상),강원도 삼척시 원덕읍 옥원리 ,강박스거더교(STB),190,2,4,50,,
호산천교(하),강원도 삼척시 원덕읍 옥원리 ,강박스거더교(STB),190,2,4,50,,
약수2교(상),강원도 삼척시 원덕읍 임원리 ,강박스거더교(STB),230,2,4,60,,
임원천교(상),강원도 삼척시 원덕읍 임원리 ,강박스거더교(STB),300,2,6,50,,
약수2교(하),강원도 삼척시 원덕읍 임원리 ,강박스거더교(STB),230,2,4,60,,
임원천교(하),강원도 삼척시 원덕읍 임원리 ,강박스거더교(STB),300,2,6,50,,
가우교(하),강원도 평창군 진부면 상진부리 ,SBarch 합성거더교,130,2,3,50,,
가우교(상),강원도 평창군 진부면 상진부리 ,SBarch 합성거더교,150,2,3,60,,
송죽교(상),강원도 고성군 거진읍 송죽리 ,IPC GIRDER교,120,2,3,40,,
논화램프D교,강원도 양양군 서면 논화리 ,강박스거더교(STB),100,1,2,50,,
수상1교,강원도 양양군 서면 상평리 ,강박스거더교(STB),160,4,3,60,,
임천1교,강원도 양양군 양양읍 임천리 ,연속 STEEL BOX GIRDER,400,4,8,50,,
지경육교,강원도 양양군 현남면 지경리 ,강박스거더교(STB),130.2,4,3,50,,
월천교(하),강원도 삼척시 원덕읍 월천리 ,강박스거더교(STB),550,2,11,50,,
북천1교(하),강원도 고성군 거진읍 대대리 ,강박스거더교(STB),300,2,6,50,,
전천과선교(하),강원도 동해시 쇄운동 산70-6,강박스거더교(STB),110,4,2,60,,
막동4교,강원도 평창군 진부면 막동리 ,ST.BOX GIRDER,150,2,3,55,,
성산대교,강원도 강릉시 성산면 오봉리 ,강박스거더교(STB),157.5,2,3,65,,
방내I.C교,강원도 강릉시 연곡면 동덕리 ,강박스거더교(STB),287.9,3,6,50,,
한계2교,강원도 인제군 북면 한계리,PSCI형교,50,2,1,50,,
논화램프C교,강원도 양양군 서면 논화리 ,강박스거더교(STB),100,1,2,50,,
장수1교,강원도 인제군 북면 한계리,P.S.C I형교,60,2,1,60,,
장수2교,강원도 인제군 북면 한계리,P.S.C I형교,55,2,1,55,,
용천1교,강원도 양양군 서면 용천리 ,연속 STEEL BOX GIRDER,230,2,5,50,,
황평교,강원도 양양군 현북면 어성전리 ,연속 STEEL BOX GIRDER,240,2,5,50,,
RAMP-D교,강원도 강릉시 연곡면 동덕리 ,강박스거더교(STB),275.3,1,6,50,,
월천교(상),강원도 삼척시 원덕읍 월천리 ,강박스거더교(STB),500,2,10,50,,
장수6교,강원도 인제군 북면 한계리,아치교(AR),30,2,1,30,,
흘림5교,강원도 양양군 서면 오색리,아치교(AR),35,2,1,35,,
금표교,강원도 양양군 서면 오색리,아치교(AR),30,2,1,30,,
옥원교(하),강원도 삼척시 원덕읍 옥원리 ,강박스거더교(STB),180,2,4,45,,
신남2교(상),강원도 삼척시 원덕읍 갈남리 ,PC빔교(PC I),150,2,5,30,,
옥녀3교,강원도 인제군 북면 한계리,강박스거더교(STB),115,2,3,45,,
약수1교(상),강원도 삼척시 원덕읍 옥원리 ,PC빔교(PC I),180,2,6,30,,
약수1교(하),강원도 삼척시 원덕읍 옥원리 ,PC빔교(PC I),180,2,6,30,,
청곡IC교,강원도 양양군 양양읍 청곡리 ,연속 STEEL BOX GIRDER,270,3,6,45,,
