시설물명,주소,교량형식,교량연장,차로수,경간수,최대경간수,,
용평교,경상남도 밀양시 용평동 ,PC빔교(PC I),170,2,6,30,,
남포1교(하),경상남도 밀양시 남포길 31-26 (남포동),RC슬래브교(RCS),140,2,4,35.1,,
용두교,경상남도 밀양시 가곡동 ,강박스거더교(STB),295.3,2,8,80,,
금곡교,경상남도 밀양시 산외면 금곡리,PC빔교(PC I),326.4,2,13,25.1,,
용회교,경상남도 밀양시 단장면 단장리,RC슬래브교(RCS),112,2,7,16,,
강동교,경상남도 밀양시 무안면 성덕리,PC빔교(PC I),140,2,6,23.4,,
안인교,경상남도 밀양시 상동면 안인리,PC빔교(PC I),330,2,11,30,,
밀양교,경상남도 밀양시 내일동 ,라멘교(RA),176,2,8,22,,
활성2교,경상남도 밀양시 활성동 ,라멘교(RA),140,1,12,12,,
남천교,경상남도 밀양시 삼문동 ,PC빔교(PC I),215,6,9,30,,
살내교,경상남도 밀양시 산외면 금천리 ,PSC BEAM,342,2,10,34.2,,
용전교,경상남도 밀양시 산내면 용전리,PC빔교(PC I),127,2,5,25,,
군산JCT2교,전라북도 군산시 성산면 여방리 884,강박스거더교(STB),100.1,2,2,50,,
금강대교(목포),충청남도 서천군 화양면 옥포리 382-10,PC박스거더교(PCB),1650,2,33,50,,
웅천교(서울),충청남도 보령시 웅천읍 노천리 637-2,PSC박스형교(PSCB),290,2,6,50,,
웅천교(목포),충청남도 보령시 웅천읍 노천리 637-2,PC박스거더교(PCB),290,2,6,50,,
천수만교(목포),충청남도 보령시 천북면 신죽리 504,PC박스거더교(PCB),766,2,16,50,,
두왕교(목포),충청남도 서천군 서천읍 두왕리 113,PC빔교(PC I),180,2,6,30,,
기산교(목포),충청남도 서천군 서천읍 두왕리 15-74,PC빔교(PC I),120,4,4,30,,
천수만교(서울),충청남도 보령시 천북면 신죽리 504,PC박스거더교(PCB),766,2,16,50,,
여방1교(목포),전라북도 군산시 성산면 여방리 898-1,강박스거더교(STB),80,2,2,50,,
원길교(목포),충청남도 서천군 기산면 두북리 287-7,강박스거더교(STB),100,2,2,50,,
추동2교(목포),충청남도 서천군 화양면 옥포리 179-7,강박스거더교(STB),100,2,2,50,,
군산JCT1교(목포),전라북도 군산시 성산면 여방리 875-1,강박스거더교(STB),110.1,3,3,50,,
금강대교(서울),충청남도 서천군 화양면 옥포리 382-10,PC박스거더교(PCB),1650,2,33,50,,
산천2교(서울),충청남도 서천군 종천면 산천리 138,PC빔교(PC I),180,2,6,29.1,,
신죽1교(목포),충청남도 보령시 천북면 신죽리 565,PC빔교(PC I),180,2,6,30,,
산천3교(목포),충청남도 서천군 종천면 산천리 65-3,PC빔교(PC I),210,4,7,29.1,,
화봉교(목포),충청남도 홍성군 은하면 화봉리 788,PC빔교(PC I),270,2,9,30,,
산천2교(목포),충청남도 서천군 종천면 산천리 638,PC빔교(PC I),180,4,6,29.1,,
산천3교(서울),충청남도 서천군 종천면 산천리 65-3,PC빔교(PC I),210,4,7,29.1,,
웅천IC교,충청남도 보령시 웅천읍 죽청리 325-23,강박스거더교(STB),50,2,1,50,,
원길교(서울),충청남도 서천군 기산면 원길리 393-5,강박스거더교(STB),100,2,2,50,,
추동2교(서울),충청남도 서천군 화양면 옥포리 179-7,강박스거더교(STB),100,2,2,50,,
군산JCT1교(서울),전라북도 군산시 성산면 여방리 875-1,강박스거더교(STB),110,2,3,50,,
오석철도육교(목포),충청남도 서천군 서천읍 ,강박스거더교(STB),50,3,1,50,,
대천IC3교,충청남도 보령시 남곡동 945,강박스거더교(STB),50.1,2,1,50.1,,
주교교(서울),충청남도 보령시 주교면 ,강박스거더교(STB),50,2,1,50,,
주교교(목포),충청남도 보령시 주교면 ,강박스거더교(STB),50,2,1,50,,
오석철도육교(서울),충청남도 서천군 서천읍 ,강박스거더교(STB),50,2,1,50,,
남포교(목포),충청남도 보령시 남포면 옥서리 484-5,PC박스거더교(PCB),435,4,9,55,,
금국2교(목포),충청남도 홍성군 은하면 금국리 107-3,PC빔교(PC I),210,2,7,30,,
대판교(목포),충청남도 홍성군 은하면 대천리 555,PC빔교(PC I),240,4,8,30,,
양기교(서울),충청남도 보령시 남포면 양기리 224-6,PC빔교(PC I),300,2,10,30,,
금국2교(서울),충청남도 홍성군 은하면 금국리 44-11,PC빔교(PC I),210,4,7,30,,
대판교(서울),충청남도 홍성군 은하면 대천리 555,PC빔교(PC I),240,2,8,30,,
화봉교(서울),충청남도 홍성군 은하면 화봉리 788,PC빔교(PC I),270,2,9,30,,
내항교(서울),충청남도 보령시 남곡동 301,강박스거더교(STB),100,3,3,40,,
남포교(서울),충청남도 보령시 남포면 옥서리 484-5,PC박스거더교(PCB),435,4,9,55,,
종천교(서울),충청남도 서천군 종천면 신검리 121,PC빔교(PC I),120,4,4,29.1,,
종천교(목포),충청남도 서천군 종천면 신검리 121,PC빔교(PC I),120,2,4,29.1,,
내항교(목포),충청남도 보령시 남곡동 301,강박스거더교(STB),100,6,3,40,,
대천1교(서울),충청남도 보령시 주교면 주교리 943,강박스거더교(STB),850,4,17,50,,
대천1교(목포),충청남도 보령시 주교면 주교리 943,강박스거더교(STB),850,4,17,50,,
대천2교(서울),충청남도 보령시 대천동 879-1,강박스거더교(STB),900,4,18,50,,
대천2교(목포),충청남도 보령시 대천동 879-1,강박스거더교(STB),900,4,18,50,,
양기교(목포),충청남도 보령시 남포면 양기리 224-6,PC빔교(PC I),300,2,10,30,,
증산교(서울),충청남도 보령시 주산면 증산리 786-3,PC빔교(PC I),210,2,7,29.1,,
증산교(목포),충청남도 보령시 주산면 증산리 786-3,PC빔교(PC I),210,2,7,30,,
유곡철교(서울),충청남도 보령시 주산면 유곡리 169-11,PC빔교(PC I),345,2,11,45,,
유곡철교(목포),충청남도 보령시 주산면 유곡리 169-11,PC빔교(PC I),345,2,11,45,,
마강교(서울),충청남도 보령시 주포면 마강리 392-1,RCT빔교(RCT),100,4,3,40,,
마강교(목포),충청남도 보령시 주포면 마강리 392-1,RCT빔교(RCT),100,2,3,40,,
신죽1교(서울),충청남도 보령시 천북면 신죽리 565,PC빔교(PC I),180,2,6,30,,
두왕교(서울),충청남도 서천군 서천읍 두왕리 113,PC빔교(PC I),181.1,4,6,30.3,,
기산교(서울),충청남도 서천군 서천읍 두왕리 15-74,PC빔교(PC I),120.2,2,4,30,,
오석1교(서울),충청남도 서천군 서천읍 오석리 837-4,PC빔교(PC I),220.5,2,7,40,,
오석1교(목포),충청남도 서천군 서천읍 오석리 537-4,PC빔교(PC I),220.5,2,7,40,,
연산교,전라남도 보성군 벌교읍 연산리 542,PC빔교(PC I),120,2,4,30,,
보성육교(상),전라남도 보성군 보성읍 보성리 42-5,강박스거더교(STB),300.3,2,6,50,,
정자교,전라남도 보성군 보성읍 용문리 527-12,강박스거더교(STB),190.5,2,4,55,,
보성육교(하),전라남도 보성군 보성읍 보성리 42-5,강박스거더교(STB),300.3,2,6,50,,
대련교,전라남도 보성군 노동면 대련리 958,IPC GIRDER,108,2,3,36,,
가장교,전라남도 보성군 겸백면 석호리 542-9,PC빔교(PC I),105,2,7,15,,
자모교,전라남도 보성군 겸백면 운림리 142-3,RC슬래브교(RCS),150,0,10,15,,
오산교,전라남도 보성군 문덕면 봉정리 209-10,RC슬래브교(RCS),180,0,6,30,,
내추1교,충청북도 청원군 북이면 옥수리 ,STEEL BOX GIRDER,135,2,3,55,,
문티교,충청북도 옥천군 안내면 안내보은로 10,IPC I형교,230,4,5,50,,
고당교,충청북도 영동군 심천면 고당리,강박스거더교(STB),300,4,6,50,,
현도교,대전광역시 대덕구 신탄진동 464-6,PC박스거더교(PCB),300,4,6,50,,
오동과선교,충청북도 청주시 청원구 오동동 ,STeel Box Girder,150,4,3,60,,
마래1교(상),충청북도 영동군 황간면 소계리 ,강박스거더교(STB),315,2,5,75,,
마래2교(하),충청북도 영동군 황간면 소계리 ,강박스거더교(STB),185,2,4,50,,
두교교,충청북도 진천군 광혜원면 실원리 ,스틸 박스교,154,4,3,58,,
화랑교,충청북도 진천군 광혜원면 광혜원리 ,스틸 박스교,308,4,6,58,,
오동교(금산),충청북도 옥천군 군서면 오동리 ,강박스거더교(STB),310,2,6,55,,
궁평고가차도(상),충청북도 청원군 강외면 궁평리,강박스거더교(STB),140,2,3,60,,
궁평고가차도(하),충청북도 청원군 강외면 궁평리,강박스거더교(STB),140,2,3,60,,
국동 RAMP-F교,충청북도 청주시 청원구 내수읍 국동리 ,강박스거더교(STB),150,1,3,50,,
오동교(보은),충청북도 옥천군 군서면 오동리 ,강박스거더교(STB),380,2,8,50,,
국동IC교(하),충청북도 청주시 청원구 내수읍 국동리 ,PC빔교(PC I),225,2,5,45,,
방하목교,충청북도 옥천군 안내면 안내보은로 365-64,PSC슬래브교,375,5,11,35,,
장계대교(상행선),충청북도 옥천군 안내면 장계1길 58,PSC BOC GIRDER,420,2,5,100,,
장계대교(하행선),충청북도 옥천군 안내면 장계1길 58,PSC BOC GIRDER,420,2,5,100,,
상복1교,충청북도 옥천군 군서면 상지리 ,강 I 빔교(ST I),130,4,3,50,,
서정대교(상),충청북도 옥천 옥천 서정,강박스거더교(STB),655,2,13,65,,
서정대교(하),충청북도 옥천 옥천 서정,강박스거더교(STB),655,2,13,65,,
가곡교(상),충청북도 청주시 청원구 오창읍 괴정리 287-2번지,강박스거더교(STB),126.2,3,3,56,,
가산교,충청북도 진천군 진천읍 가산리 ,π형 r.c + s.t box,170,4,6,45,,
한천교,충청북도 진천군 덕산면 한천리 ,ST-BOX,125,4,3,45,,
사당교,충청북도 진천군 이월면 신월리 ,PSC Beam Girder,175,4,5,35,,
내추2교,충청북도 청원군 북이면 옥수리 ,STEEL BOX GIRDER,350,2,7,60,,
원관과선교,충청북도 영동군 추풍령면 ,강박스거더교(STB),166,4,3,65,,
추풍령과선교,충청북도 영동군 추풍령면 ,강박스거더교(STB),167,4,3,66,,
가곡교(하),충청북도 청주시 청원구 오창읍 괴정리 112-1번지,강박스거더교(STB),126.2,3,3,56,,
상지1교(하행),충청북도 옥천군 군서면 상지리 ,PC빔교(PC I),160,2,4,40,,
상지2교,충청북도 옥천군 군서면 상지리 ,PC빔교(PC I),270,4,9,30,,
도하IC교,충청북도 진천군 문백면 도하리 ,강박스거더교(STB),120,4,3,50,,
태락IC교,충청북도 진천군 문백면 태락리 ,강박스거더교(STB),120,4,3,50,,
진천교,충청북도 진천군 진천읍 교성리 ,강박스거더교(STB),360,4,6,65,,
금성교(상),충청북도 진천군 초평면 용산리 ,PSC BEAM,180.7,2,6,30.1,,
보강교(상),충청북도 증평군 증평읍 사곡리 ,P.S.C Beam,150.3,3,5,30,,
보강교(하),충청북도 증평군 증평읍 사곡리 ,P.S.C Beam,150.3,3,5,30,,
국동RAMP-D교,충청북도 청주시 청원구 내수읍 국동리 ,강박스거더교(STB),125,1,3,45,,
석곡육교,충청북도 청주시 흥덕구 석곡동 ,STEEL BOX GIRDER,130,4,3,50,,
진천교,충청북도 진천군 진천읍 읍내리 ,강박스거더교(STB),135,4,3,50,,
마래1교(하),충청북도 영동군 황간면 소계리 ,강박스거더교(STB),315,2,5,75,,
마래2교(상),충청북도 영동군 황간면 소계리 ,강박스거더교(STB),195,2,4,60,,
학천과선교,충청북도 청주시 흥덕구 강내면 학천리 ,STeel Box Girder,170,4,3,70,,
화성IC교,충청북도 증평군 증평읍 미암리 ,강박스거더교(STB),50.1,6,1,50.1,,
구성교(오동),충청북도 청주시 상당구 오동동 ,강박스거더교(STB),50,2,1,50,,
과선교,충청북도 옥천군 이원면 원동리,강박스거더교(STB),68.1,4,1,68.1,,
구성교(구성),충청북도 청주시 상당구 오동동 ,강박스거더교(STB),50,2,1,50,,
팔결교(상),충청북도 청주시 상당구 외평동 ,강박스거더교(STB),660,3,11,60,,
팔결교(하),충청북도 청주시 상당구 외평동 ,강박스거더교(STB),660,3,11,60,,
서당1교,충청북도 청원군 내수읍 학평리 ,I.P.C BEAM,120,4,3,40,,
상지1교(상행),충청북도 옥천군 군서면 상지리 ,PC빔교(PC I),148,2,4,37,,
사곡과선교(상),충청북도 증평군 증평읍 사곡리 ,강박스거더교(STB),130,2,3,50,,
사곡과선교(하),충청북도 증평군 증평읍 사곡리 ,강박스거더교(STB),130,2,3,50,,
금성교(하),충청북도 진천군 초평면 용산리 ,PSC BEAM,150.1,2,5,30,,
국동IC교(상),충청북도 청주시 청원구 내수읍 국동리 ,PC빔교(PC I),225,2,5,45,,
동잠교,충청북도 진천군 초평면 용정리 ,PSC BEAM,105,4,3,35,,
중산대교(하행),충청북도 진천군 이월면 중산리,강박스거더교(STB),210,2,5,45,,
백곡교,충청북도 진천군 진천읍 행정리 ,PC빔교(PC I),210,4,7,30,,
중산대교(상행),충청북도 진천군 이월면 중산리,강박스거더교(STB),210,2,5,45,,
까치내교,충청북도 청주시 청원구 정상동 ,P.S.C BEAM,385,4,11,35,,
석곡교,충청북도 청주시 흥덕구 석곡동 ,steel box girder,115,4,3,45,,
안신1교(상),충청북도 영동군 황간면 소계리 ,P.S.C BEAM교,210,2,6,35,,
추풍령5교,충청북도 영동군 추풍령면 ,PC슬래브교(PCS),120,4,4,30,,
오갑1교,충청북도 진천군 초평면 중석리 ,PSC빔교,330,4,11,30,,
매천교(상),충청북도 영동군 영동읍 매천리 ,강박스거더교(STB),140,2,4,40,,
서송원1교(상),충청북도 영동군 황간면 서송원리 ,I.P.C GIRDER교,120,2,3,40,,
효촌대교,충청북도 청주시 상당구 남일면 신송리 ,p.s.c beam,191,4,6,35,,
서화교(하),충청북도 옥천 옥천 서정,PC빔교(PC I),210,2,7,30,,
미암교(상),충청북도 증평군 증평읍 중동리,PC빔교(PC I),153.5,2,6,25.8,,
삼봉천교(상),충청북도 영동군 영동읍 회동리 ,P.S.C BEAM 교,180,2,6,30,,
복현교(하),충청북도 청원군 오창면 복현리 ,PC슬래브교(PCS),180.2,2,6,30,,
초평천교(진천방향),충청북도 진천군 초평면 용정리 ,PSC빔교,240,2,8,30,,
미암교(하),충청북도 증평군 증평읍 중동리,PC빔교(PC I),154.4,2,6,25.8,,
도안육교,충청북도 괴산군 도안면 화성리,강박스거더교(STB),102,4,3,39.5,,
반탄교(신),충청북도 증평군 증평읍 중동,RC슬래브교(RCS),188.4,2,12,15.7,,
반탄교(구),충청북도 증평군 증평읍 중동,RC슬래브교(RCS),188.4,2,12,15.8,,
학천교,충청북도 청주시 흥덕구 강내면 학천리 ,P.S.C GIRDER,140,4,4,35,,
석남천1교,충청북도 청주시 흥덕구 서촌동 ,I.P.C GIRDER,120,4,3,40,,
이평교(신),충청북도 보은군 보은읍 이평리,PC빔교(PC I),120.3,2,4,30.1,,
국원교(상),충청북도 옥천 군북 국원,강박스거더교(STB),125,2,3,45,,
국원교(하),충청북도 옥천 군북 국원,강박스거더교(STB),125,2,3,45,,
영동천교,충청북도 영동군 영동읍 부용리 ,I.P.C BEAM 교,120,2,3,40,,
매천교(하),충청북도 영동군 영동읍 매천리 ,강박스거더교(STB),140,2,4,40,,
서송원1교(하),충청북도 영동군 황간면 서송원리 ,I.P.C GIRDER교,120,2,3,40,,
도원2교,충청북도 청원군 내수읍 풍정리 ,I.P.C BEAM,160,4,4,40,,
안신1교(하),충청북도 영동군 황간면 소계리 ,P.S.C BEAM교,210,2,6,35,,
복현교(상),충청북도 청원군 오창면 복현리 ,PC슬래브교(PCS),180.2,2,6,30,,
산리교,충청북도 영동군 영동읍 ,PC빔교(PC I),150.2,4,5,30.1,,
각계교,충청북도 영동군 심천면 각계리,PC빔교(PC I),150.2,4,5,30,,
장관교,충청북도 진천군 진천읍 장관리,PC빔교(PC I),150,2,5,30,,
이평교(구),충청북도 보은군 보은읍 이평리,PC빔교(PC I),110,2,4,27.5,,
군서1교,충청북도 옥천군 군서면 동평리 ,PC빔교(PC I),100,4,4,25,,
월전교(금산),충청북도 옥천군 군서면 월전리 ,PC빔교(PC I),240,2,8,30,,
월전교(보은),충청북도 옥천군 군서면 월전리 ,PC빔교(PC I),240,2,8,30,,
인포교(하행선),충청북도 옥천군 안내면 대청로 2353,PSC빔교,175,2,5,35,,
인포교(상행선),충청북도 옥천군 안내면 대청로 2353,PSC빔교,175,2,5,35,,
미호천교(구),충청북도 청원군 강내면 탑연리,PC빔교(PC I),360,2,12,30,,
미호천교(신),충청북도 청원군 강내면 탑연리,PC빔교(PC I),360,2,12,30,,
RAMP-A교(상행선),충청북도 옥천군 안내면 인포2길 120-1,PSC빔교,140,1,4,35,,
RAMP-D교(하행선),충청북도 옥천군 안내면 인포2길 120-1,PSC빔교,140,1,4,35,,
거현천1교,충청북도 보은군 수한면 묘서2길 93,PSC슬래브교,175,4,5,35,,
소정교(상),충청북도 옥천 군북 소정,PC빔교(PC I),210,2,6,35,,
소정교(하),충청북도 옥천 군북 소정,PC빔교(PC I),210,2,6,35,,
서화교(상),충청북도 옥천 옥천 서정,PC빔교(PC I),210,2,7,30,,
삼봉천교(하),충청북도 영동군 영동읍 회동리 ,P.S.C BEAM 교,180,2,6,30,,
초평천교(증평방향),충청북도 진천군 초평면 용정리 ,PSC빔교,270,2,9,30,,
원정교,충청북도 보은군 마로면 원정리 379-1,PC빔교(PC I),156,2,7,30,,
이식2교,충청북도 보은군 내북면 적음리 10-8,RC슬래브교(RCS),112.1,2,8,14,,
고승교,충청북도 보은군 보은읍 금굴리 83-8,PSC I형교,150,2,5,30,,
삼탄교,충청북도 보은군 삼승면 달산리 648,P.S.C Beam,165,2,6,30,,
산대교,충청북도 보은군 산외면 산대리 88-1,RC슬래브교(RCS),110,2,8,13.8,,
중동교,충청북도 보은군 보은읍 강산리 362-1,PC빔교(PC I),100,2,5,20,,
현동교,경상북도 봉화군 소천면 ,P.S.C I형교,105.3,2,3,35.1,,
부산도시철도 1-032(교대~동래간 본선고가),부산광역시 연제구 중앙대로 지하 1217,PC빔교(PC I),520.7,2,25,45,,
부산도시철도 1-033(동래역~명륜간 본선고가),부산광역시 동래구 중앙대로 1324,PC빔교(PC I),800,2,36,40,,
부산도시철도 1-034(명륜역~온천장간 본선고가),부산광역시 동래구 중앙대로 1414,PC빔교(PC I),1060,2,50,34.5,,
부산도시철도 1-035(온천장역~부산대학간 본선고가),부산광역시 동래구 중앙대로 1520,PC빔교(PC I),1072.5,2,48,42.4,,
부산도시철도 1-036(부산대학역~장전간 본선고가),부산광역시 금정구 장전온천천로 48(장전동),PC빔교(PC I),967.5,2,44,37,,
부산도시철도 1-037(장전역~구서간 본선고가),부산광역시 금정구 장전온천천로 144(장전동),PC빔교(PC I),1100,2,50,42.5,,
부산도시철도 1-038(구서역~두실간 본선고가),부산광역시 금정구 금정로233번길 46 (구서동),PC빔교(PC I),761.3,2,31,46.5,,
대천천교,부산광역시 북구 금곡동 1907,PC빔교(PC I),291,0,10,29.1,,
효문제3고가,울산광역시 북구 연암동 954-3,프리플렉스빔교(PF),129.8,0,5,28.2,,
완사천교,경상남도 사천시 곤명면 신흥리 49-22,PC슬래브교(PCS),147.8,0,5,30,,
송정고가제1교,부산광역시 해운대구 송정1로7번길 30-5 (송정동),PSC BEAM,326.7,4,13,25,,
칠산제1교,경상남도 김해시 이동 507-1,PC박스거더교(PCB),264,2,11,42,,
동래고가,부산광역시 동래구 낙민동 127-2,PSC BOX,690,2,25,40,,
양정고가,부산광역시 부산진구 진남로 602 (양정동),PSC BOX,830,2,28,49,,
거제고가,부산광역시 연제구 거제동 619-1,PSC BOX,864,2,29,45,,
교대고가,부산광역시 연제구 거제동 155-1,PSC BOX,1048,2,35,40,,
안락고가,부산광역시 동래구 안락로125번길 9-7 (안락동),PSC BOX,747,2,26,31,,
대덕교,경상남도 하동군 횡천면 경서대로 1234,PSC BEAM,105,2,4,30,,
진성천교,경상남도 진주시 일반성면 운천리 1485-3,PSC BOX GIRDER,120,2,4,30,,
도동교,경상남도 진주시 진성면 상촌리 9-4,PSC BOX GIRDER,180,2,6,30,,
제곡교,경상남도 진주시 문산읍 삼곡리 275-6,PSC BOX GIRDER,160,2,6,35,,
반성정거장(라멘교),경상남도 진주시 일반성면 운천리 891,라멘교(RA),110.5,5,14,8.8,,
반성천교,경상남도 진주시 일반성면 창촌리 745-1,PSC BOX GIRDER,362.5,2,11,42.5,,
여의교,경상남도 하동군 횡천면 여의길 69-3,PSC BEAM,300,2,12,25,,
남산고가,경상남도 하동군 횡천면 경서대로 1045-24,강박스거더교(STB),295,2,10,40,,
개양교,경상남도 진주시 가좌동 1554,강합성교,120,2,3,40,,
진양고가,경상남도 진주시 내동면 호반로 68-92,PSC BEAM,250,2,9,45,,
거제가도교,부산광역시 연제구 거제동 42-3,PSC BOX,298,2,9,49,,
원동천교(상선),경상남도 양산시 원동면 용당리 1524-2,EDGE-GIRDER교,114,2,4,28.5,,
원동천교(하선),"경상남도 양산시 원동면 원동로 1899-30, 경상남도 양산시 원동면 원리 인근",EDGE-GIRDER교,114,2,4,28.5,,
중리교,경상남도 창원시 마산회원구 내서읍 중리 673-1,트러스교(TR),145,2,5,45,,
신도고가교,경상북도 청도군 청도읍 신도리 925-21,강합성형교,450,2,17,50,,
초현교,경상북도 청도군 청도읍 초현리 산58-1,P.S.C Beam,195,2,8,25,,
유천강교,경상남도 밀양시 상동면 옥산리 164-45,P.S.C Beam,325,2,13,25,,
칠산제2교,경상남도 김해시 이동 143번지,트러스교(TR),1073.3,2,33,90,,
주개교,경상남도 진주시 가좌동 1028-3,아치교(AR),205,2,5,85,,
섬진강교,경상남도 하동군 하동읍 광평리 282-2,아치교(AR),660,2,9,120,,
미전고가교,경상남도 밀양시 삼랑진읍 송지리 648-6,PC슬래브교(PCS),707.8,0,23,39.9,,
제2삼동교,경상남도 창원시 성산구 신촌동 121,PC슬래브교(PCS),349.1,0,21,16.7,,
회야강교,울산광역시 울주군 온양읍 발리 29-1,강판형교(SPG),316.8,0,18,18.3,,
지사교,부산광역시 강서구 미음동 산107-1임,강박스거더교(STB),249,2,5,55,,
가화고가,경상남도 진주시 내동면 삼계로 268,PSC BEAM,150,2,6,25,,
가화천교,경상남도 진주시 내동면 내축로 580,S.T BOX,270,2,6,45,,
가월천교,경상남도 김해시 한림면 금곡리 844-15,P.S.C BOX,200,2,5,40,,
석산고가,부산광역시 기장군 기장읍 석산길 23,PSC BEAM,608.3,4,24,27.5,,
송정고가제2교,부산광역시 해운대구 해운대로 1189 (송정동),PSC BEAM,1228.8,4,36,60,,
영천교,경상남도 진주시 문산읍 이곡리 1237-1,PSC BOX GIRDER,700,2,24,35,,
독산고가,경상남도 진주시 내동면 산유로456번길 42-11,PSC BEAM,535,2,21,35,,
구암고가교,경상남도 창원시 마산회원구 구암동 762-4,강박스거더교(STB),838,2,33,40,,
견마1교,부산광역시 강서구 성북동 1488-2,P.S.C Beam,250,1,10,25,,
눌차교,부산광역시 강서구 성북동 1528,P.S.C Beam,325,1,13,25,,
선창교,부산광역시 강서구 성북동 1520,P.S.C Beam,150,1,6,25,,
율리교,부산광역시 강서구 성북동 1522,PSC+STEEL GIRDER BOX,300.1,1,10,50,,
진례천교(상행),경상남도 김해시 진례면 담안리 683-2,SF+STB,374,2,10,50,,
양동교,경상남도 김해시 생림면 마사리 958-4,PC박스거더교(PCB),240,2,6,40,,
징평교,경상남도 하동군 적량면 동산리 756-1,PSC U-TYPE,110,2,3,40,,
두전고가,경상남도 하동군 적량면 동산리 1789,PC빔교(PC I),495,2,19,40,,
야음고가,울산광역시 남구 야음동 327-25,프리플렉스빔교(PF),403,1,17,35,,
B(라멘)견마,부산광역시 강서구 성북동 1488-2,BOX형 라멘교,303.6,1,14,22.6,,
B(라멘)선창,부산광역시 강서구 성북동 1520,BOX형 라멘교,339,1,15,22.6,,
진례천교(하행),경상남도 김해시 진례면 담안리 683-2,SF+STB,374,2,10,50,,
안락고가 제2교,부산광역시 동래구 안락동 52-2,강합성 플레이트 거더교,181,2,6,40,,
장상천 제2교,부산광역시 해운대구 우동 1213-37,"PRECOM, PSC U-DECK",104,2,3,37,,
제1삼동교,경상남도 창원시 의창구 대원동 502-7,PC빔교(PC I),701.3,0,41,40,,
죽곡교,경상남도 김해시 진영읍 죽곡리 266-1,STB+PRECOM+PSC,515.1,2,14,50,,
한림정교,경상남도 김해시 한림면 장방리 228-137,PC슬래브교(PCS),560,2,22,30,,
낙동강교,경상남도 밀양시 삼랑진읍 삼랑리 530-1,PF 빔+트러스,1520,2,23,70,,
횡천강교,경상남도 하동군 횡천면 경서대로 1234,강박스거더교(STB),288,2,6,52,,
내부제2교,경상남도 밀양시 삼랑진읍 삼랑리 58-104,P.S.C BOX,200,2,5,40,,
신율교,경상남도 진주시 내동면 산24-1,PSC BEAM,250,2,10,25,,
대호교,경상남도 진주시 문산읍 옥산리 산 16-2,P.S.C Beam,250,2,10,25,,
송현교,경상남도 사천시 곤명면 초량리 산 44-5,"EXTRADOSED, PSC BOX교",412.5,2,9,75,,
완사교,경상남도 사천시 곤명면 신흥리 49-22,PSC BEAM교,150,2,5,30,,
송림교,경상남도 사천시 곤명면 송림리 산 31-1,하로 PSC-U 거더교,330,2,11,30,,
소하교,경상남도 사천시 곤명면 곤명1로 144,PSC BEAM교,150,2,6,25,,
구모교,경상남도 사천시 곤명면 봉계리 산 31-4,PSC BEAM교,125,2,5,25,,
우동고가교,부산광역시 동래구 안락동 일원,"강합성 박스거더, PSC빔",170,2,6,45,,
북천천교,경상남도 하동군 북천면 직전리 496-9,PSC교+PF교,155,2,5,35,,
개양교(사천선),경상남도 진주시 가좌동 1703,강합성교,120,2,3,40,,
학산교,경상남도 하동군 북천면 직전리 632-13,PSC BOX교+ST BOX교,150,2,5,50,,
B(라멘)율리,부산광역시 강서구 성북동 1527-1,BOX형 라멘교,226,1,10,22.6,,
의암고가교,경상남도 창원시 의창구 동읍 남산리 122-4,PC빔교(PC I),1290,2,50,50,,
진례고가,경상남도 김해시 진례면 초전리 65-11,아치교(AR),3085,2,114,158,,
진영2교,경상남도 김해시 진영읍 설창리 17-5,PSC합성거더교,525.7,2,21,25.1,,
신월 제2교,경상남도 김해시 진례면 신월리 178,PC슬래브교(PCS),127,2,4,35,,
밀양강교(상),경상남도 밀양시 용평동 936-49,강판형교(SPG),595.8,1,30,18.3,,
조만강교,경상남도 김해시 장유면 내덕리 61-30번지,강박스거더교(STB),200,2,5,40,,
내덕제2교,경상남도 김해시 장유면 내덕리 500,PC박스거더교(PCB),120,2,3,50,,
석전교,경상남도 창원시 마산회원구 석전동 162-2,강박스거더교(STB),420,2,14,40.5,,
견마2교,부산광역시 강서구 성북동 1488,STEEL BOX GIRDER,450.7,1,14,55,,
밀양강교(하),경상남도 밀양시 용평동 708-7,강판형교(SPG),592.6,1,32,18.3,,
선암고가,울산광역시 남구 선암동 183-11,PC박스거더교(PCB),740.4,0,25,33,,
울산고가,울산광역시 남구 삼산동 28-3,프리플렉스빔교(PF),2368.3,0,77,35,,
녹산교,부산광역시 강서구 송정동 876 답,강합성 상자형교,180,3,4,45,,
남문구고가,부산광역시 연제구 거제동 423-3,PSC BOX,423,2,16,31,,
녹산교,부산광역시 강서구 송정동 1437-68,PSC BOX GIRDER,2862,2,75,100,,
유천강제1교(복),경상남도 밀양시 상동면 금산리 901-6,강판형교(SPG),243.2,2,16,15.2,,
야음고가,울산광역시 남구 여천동 934-3,PC빔교(PC I),414.8,1,18,35,,
여천고가,울산광역시 남구 여천동 1037-5,PF빔,342.4,0,16,28.2,,
상개고가,울산광역시 남구 두왕동 689-4,아치교(AR),654,1,27,90,,
선암고가,울산광역시 남구 선암동 183-11,강박스거더교(STB),734,1,25,43,,
수영고가교,부산광역시 해운대구 재송동 933-99,"S-PC빔, PSC빔, 강합성 박스거더",759.3,2,29,38,,
